City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
277,Labuhan,-6.8844,112.2051,76.8,87,100,5.86,light rain
278,Wangou,42.0623,126.9127,-5.82,98,91,3.76,overcast clouds
279,Binzhou,37.3667,118.0167,24.31,80,74,8.7,broken clouds
280,Changji,44.0167,87.3167,-1.41,65,0,2.24,clear sky
281,Poum,-20.2333,164.0167,80.02,78,97,2.3,overcast clouds
282,Etampes,48.4333,2.15,34.43,90,80,8.28,broken clouds
283,Nadym,65.5333,72.5167,17.96,95,100,12.17,overcast clouds
284,Kruisfontein,-34.0033,24.7314,68.88,96,42,3.96,scattered clouds
285,Yagodnoye,62.55,149.6667,-22.4,98,100,3.96,overcast clouds
286,Empangeni,-28.762,31.8933,70.48,93,4,2.91,clear sky
287,Polican,40.6122,20.0981,44.06,90,100,7.96,light rain
288,Namatanai,-3.6667,152.4333,81.48,77,99,7.85,moderate rain
289,Burnie,-41.0667,145.9167,68.94,73,10,9.98,clear sky
290,Pacific Grove,36.6177,-121.9166,60.48,62,0,11.01,clear sky
291,Sibolga,1.7427,98.7792,74.07,95,100,1.43,overcast clouds
292,Biloela,-24.4167,150.5,78.55,64,11,3.8,few clouds
293,Cruzeiro Do Sul,-29.5128,-51.9853,83.52,55,60,6.55,broken clouds
294,Vila Velha,-20.3297,-40.2925,75.15,100,75,2.3,broken clouds
295,Provideniya,64.3833,-173.3,-3.89,65,40,20.13,scattered clouds
296,Zaragoza,41.6561,-0.8773,41.45,59,0,29.93,clear sky
297,Vilyuysk,63.7553,121.6247,-25.22,95,100,5.48,overcast clouds
298,Bulgan,48.8125,103.5347,-28.59,91,13,3.83,few clouds
299,Koratla,18.8167,78.7167,65.98,65,8,6.08,clear sky
300,Gizo,-8.103,156.8419,83.59,71,99,7.25,light rain
301,Turukhansk,65.8167,87.9833,-8.63,91,100,14.54,overcast clouds
302,Kabwe,-14.4469,28.4464,62.64,99,100,4.09,light rain
303,Palamos,41.8484,3.1291,41.11,36,78,21.0,broken clouds
304,Banda Aceh,5.5577,95.3222,74.88,92,100,7.18,moderate rain
305,Tadine,-21.55,167.8833,80.56,82,99,7.2,overcast clouds
306,Zeya,53.75,127.2667,-38.49,92,39,3.42,scattered clouds
307,Vila,42.0304,-8.1588,32.88,84,67,4.65,broken clouds
308,Panzhihua,26.5851,101.7128,42.67,62,100,1.36,overcast clouds
309,Ruidoso,33.3317,-105.673,44.74,26,2,10.36,clear sky
